school_name,province,location_text,num_children,url
Ahousaht Residential School,"Ahousaht, BC",The National Residential School Crisis Line1-866-925-4419,8,https://nctr.ca/residential-schools/british-columbia/ahousaht/
Akaitcho Hall,"Yellowknife, NT",The National Residential School Crisis Line1-866-925-4419,4,https://nctr.ca/residential-schools/northern/akaitcho-hall-yellowknife-federal-hostel/
Alberni Residential School,"Port Alberni, BC",The National Residential School Crisis Line1-866-925-4419,40,https://nctr.ca/residential-schools/british-columbia/alberni/
All Saints Residential School (Aklavik),"Aklavik, NT",The National Residential School Crisis Line1-866-925-4419,59,https://nctr.ca/residential-schools/northern/all-saints-aklavik-anglican/
Amos (Saint-Marc-de-Figuery),"Amos, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/amos-saint-marc-de-figuery/
Anahim Lake Dormitory,"Anahim Lake, BC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/british-columbia/anahim-lake-dormitory/
Assiniboia Residential School,"Winnipeg, MB",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/manitoba/assiniboia-winnipeg/
Assumption Residential School,"Assumption, AB",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/alberta/assumption-hay-lakes/
Battleford Industrial School,"Battleford, SK",The National Residential School Crisis Line1-866-925-4419,64,https://nctr.ca/residential-schools/saskatchewan/battleford/
Beauval Residential School,"Beauval, SK",The National Residential School Crisis Line1-866-925-4419,60,https://nctr.ca/residential-schools/saskatchewan/beauval-ile-a-la-crosse/
Birtle Residential School,"Birtle, MB",The National Residential School Crisis Line1-866-925-4419,47,https://nctr.ca/residential-schools/manitoba/birtle/
Bishop Horden Hall,"Moose Island, ON",The National Residential School Crisis Line1-866-925-4419,57,https://nctr.ca/residential-schools/ontario/bishop-horden-hall-moose-factory/
Blue Quills Residential School,"St. Paul, AB",The National Residential School Crisis Line1-866-925-4419,43,https://nctr.ca/residential-schools/alberta/blue-quills-sacred-heart/
Bompas Hall,"Fort Simpson, NT",The National Residential School Crisis Line1-866-925-4419,3,https://nctr.ca/residential-schools/northern/bompas-hall-koe-go-cho/
Brandon Residential School,"Brandon, MB",The National Residential School Crisis Line1-866-925-4419,94,https://nctr.ca/residential-schools/manitoba/brandon/
Breynat Hall,"Fort Smith, NT",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/breynat-hall-fort-smith-hostel/
Carcross Residential School,"Carcross, YT",The National Residential School Crisis Line1-866-925-4419,27,https://nctr.ca/residential-schools/northern/carcross-choutla/
Cariboo Residential School,"Williams Lake, BC",The National Residential School Crisis Line1-866-925-4419,28,https://nctr.ca/residential-schools/british-columbia/cariboo-williams-lake/
Cecilia Jeffrey Residential School,"Kenora, ON",The National Residential School Crisis Line1-866-925-4419,50,https://nctr.ca/residential-schools/ontario/cecilia-jeffrey-shoal-lake/
Chapleau Residential School,"Chapleau, ON",The National Residential School Crisis Line1-866-925-4419,56,https://nctr.ca/residential-schools/ontario/chapleau-st-johns/
Chesterfield Inlet (Turquetil Hall),"Chesterfield Inlet, NU",The National Residential School Crisis Line1-866-925-4419,3,https://nctr.ca/residential-schools/northern/chesterfield-inlet-turquetil-hall/
Christie Residential School,"Meares Island / Tofino, BC",The National Residential School Crisis Line1-866-925-4419,46,https://nctr.ca/residential-schools/british-columbia/christie-tofino/
Churchill Residential School,"Churchill, MB",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/manitoba/churchill/
Coqualeetza Residential School,"Chilliwack / Sardis, BC",The National Residential School Crisis Line1-866-925-4419,41,https://nctr.ca/residential-schools/british-columbia/coqualeetza-chilliwack-home/
Cote Improved Federal Day School (School #604),"Kamsack, SK",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/saskatchewan/cote-improved-federal-day-school/
Coudert Hall (Whitehorse Hostel),"Whitehorse, YT",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/coudert-hall-whitehorse-hostel/
Cranbrook Residential School,"Cranbrook, BC",The National Residential School Crisis Line1-866-925-4419,29,https://nctr.ca/residential-schools/british-columbia/cranbrook-st-eugenes/
Cristal Lake High School,"Cristal Lake, ON",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/ontario/cristal-lake-high-school/
Cross Lake Residential School,"Cross Lake, MB",The National Residential School Crisis Line1-866-925-4419,57,https://nctr.ca/residential-schools/manitoba/cross-lake/
Crowfoot Residential School,"Cluny, AB",The National Residential School Crisis Line1-866-925-4419,48,https://nctr.ca/residential-schools/alberta/crowfoot-st-josephs/
Crowstand Residential School,"Kamsack, SK",The National Residential School Crisis Line1-866-925-4419,34,https://nctr.ca/residential-schools/saskatchewan/crowstand/
Desmarais Residential School (St. Martin’s),"Desmarais-Wabasca, AB",The National Residential School Crisis Line1-866-925-4419,16,https://nctr.ca/residential-schools/alberta/desmarais-st-martins/
Edmonton Residential School,"St. Albert, AB",The National Residential School Crisis Line1-866-925-4419,33,https://nctr.ca/residential-schools/alberta/edmonton-poundmaker/
Elkhorn Residential School,"Elkhorn, MB",The National Residential School Crisis Line1-866-925-4419,86,https://nctr.ca/residential-schools/manitoba/elkhorn-washakada/
Ermineskin Residential School,"Hobbema, AB",The National Residential School Crisis Line1-866-925-4419,15,https://nctr.ca/residential-schools/alberta/ermineskin-hobbema/
Federal Hostel at Baker Lake,"Qamanittuaq, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-baker-lake-qamanituaq/
Federal Hostel at Belcher Islands,"Flaherty Island (South Camp) / Sanikiluaq, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-belcher-islands/
Federal Hostel at Broughton Island,"Qikiqtarjuaq, NU",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/northern/federal-hostel-at-broughton-island-qikiqtarjuaq/
Federal Hostel at Cambridge Bay,"Cambridge Bay, NU",The National Residential School Crisis Line1-866-925-4419,1,https://nctr.ca/residential-schools/northern/federal-hostel-at-cambridge-bay/
Federal Hostel at Cape Dorset (Kinngait),"Kinngait, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-cape-dorset-kinngait/
Federal Hostel at Eskimo Point (Arviat),"Arviat, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-eskimo-point-arviat/
Federal Hostel at Fort Franklin,"DŽline, NT",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-fort-franklin/
Federal Hostel at Frobisher Bay,"Iqaluit, NU",The National Residential School Crisis Line1-866-925-4419,2,https://nctr.ca/residential-schools/northern/federal-hostel-at-frobisher-bay-ukkivik-student-residence/
Federal Hostel at George River (Kangiqsualujjuaq),"Kangirsualujjuaq, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/federal-hostel-at-george-river-kangiqsualujjuaq/
Federal Hostel at Great Whale River (Poste-de-la-Baleine),"Kuujjuaraapik / Whapmagoostui, QC",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/quebec/federal-hostel-at-great-whale-river-poste-de-la-baleine/
Federal Hostel at Igloolik (Iglulik),"Igloolik / Iglulik, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-igloolik-iglulik/
Federal Hostel at Lake Harbour (Kimmirut Hostel),"Kimmirut, NU",The National Residential School Crisis Line1-866-925-4419,0,https://nctr.ca/residential-schools/northern/federal-hostel-at-lake-harbour-kimmirut-hostel/
